Country,January,February,March,April,May,June,July,August,September,October,November,December,Label
Central African Republic,24.19172006292667,26.162192497456694,26.31467329452139,25.72685202265705,25.153515987223173,24.26169083527575,23.513775966282346,23.38632825492191,23.558405728390134,23.814748337634942,24.57200848424017,24.189195404703437,0
Ethiopia,19.29371776759367,21.186881252620623,22.16421149847894,22.166054304313807,21.836696065135094,21.426520385339117,20.243957588852567,19.902055193985333,20.123929369650547,20.401638660249297,19.50602128845259,18.63435357318593,0
Kenya,24.72247087941238,25.277052255462525,25.580942924437203,24.88785950689501,23.854461788694003,23.120946460542914,22.416008921870787,22.529067016817525,23.17207630595487,23.83579468304331,23.931149262421616,24.08891463419401,0
Madagascar,26.494722723710233,26.57003070094451,26.401518957660734,25.790695965639166,24.079547015692327,22.55027622610528,21.67524806299118,22.29544441844498,23.333648898860538,24.976724627784485,25.938114023215796,26.7098755533293,0
Malawi,25.38031691456691,25.650622314517506,25.677686065176733,24.39203815787306,23.239857576971882,21.67281061850027,21.180488923120855,23.048041829019464,27.109293352725707,28.094797723687172,28.581589947089945,27.019113531797323,0
Mauritius,26.991159125900918,27.187607669379595,26.989495803829005,26.151277777777786,24.495251047931472,23.112908029878618,22.311505376344087,22.149569892473117,22.58936492713028,23.869327956989245,25.178027777777782,26.4923782298807,0
Mozambique,26.934376132546163,27.048557196407707,26.59455678824782,24.931487810730168,23.1340246734896,21.522117112544755,20.519595890868132,22.27918984519877,24.12241421194276,25.289791473735622,26.393265598784392,26.89904153226427,0
Namibia,24.86970422941926,24.31025673824457,23.364971375826865,21.32810033769119,19.211868712828192,16.38071390902416,15.944554270295857,18.37230331968819,21.93119866308279,24.471459317713542,24.945362518837833,24.7587505017793,0
Christmas Island,25.21596774193548,25.482266009852218,25.573703374119393,26.04958095238095,25.849150537634408,25.013087912087915,24.144838709677423,23.863225806451613,23.841013136289,24.541132122110987,25.101000000000003,25.114135944700465,0
Paraguay,28.092617055059897,27.361373140249214,25.643705308484392,23.73443838322694,20.26549577290522,18.631225131469442,18.127516771174925,20.43892167975301,22.8129173323232,25.020812210225866,25.866193669553827,27.294346614319657,0
Peru,22.928982599142508,23.08621808971793,23.029104305217228,22.520835712878444,21.817758322643844,21.0052263664444,20.317131972063923,20.673296756832517,21.23937970998015,21.561599348138806,22.130188019932355,22.428417281392882,0
Cape Verde,22.357944926306377,21.802113972946916,22.205235945180767,22.82359581467472,23.824737430045662,24.78241893404006,25.84267708250772,27.048965163555188,27.503033285198825,27.11785381078719,25.399300460975613,23.520012093695293,0
Reunion,26.610000000000003,26.851576354679803,26.327741935483875,25.608333333333338,23.85548387096774,22.476333333333333,21.84064516129032,21.892258064516128,22.356333333333335,23.74032258064516,25.011333333333333,26.395806451612906,0
Rwanda,21.674838709677417,21.60137338076993,21.09129032258064,20.855166666666666,21.167311827956986,21.451399014778325,21.95361512791991,22.41232718894009,21.640518518518522,21.05193548387097,20.247000000000003,20.815483870967746,0
Brazil,26.589746271441648,26.466772810995035,26.063079465395152,25.36091799990429,23.827954288558587,23.132651407405877,22.871826907603968,23.912709235912207,25.353420813328533,26.03222703815926,26.00003710013889,26.62642886932658,0
Botswana,26.715729890528895,25.976553752560342,25.382382978806785,22.763441773893042,19.95808469305822,16.822627093129505,16.41808934675211,19.986007856851174,24.434500465804792,27.58347335802019,27.59298644599479,26.843226987100348,0
French Polynesia,26.247209954604408,26.71071744245454,26.696037597802352,26.111467146793586,25.08033304985554,24.121115308455245,23.435501286108234,23.247912509876496,23.62489030145516,24.005552423618738,25.08385288393024,25.837377031654803,0
Swaziland,24.52231182795699,24.60949753694581,24.455065284178183,21.97329805996473,20.80522273425499,19.170246913580243,18.822934382833182,21.16882187938289,22.207198808003408,22.297776356445436,23.11441740706958,24.169593001320507,0
Bolivia,25.209668850141714,24.56810051792054,24.563282938486587,23.834698316000374,21.867163727301815,20.642395994018862,20.635232285099814,22.603003164856474,25.011788760738206,25.94784837189666,25.835878854447618,25.512041914915528,0
Tonga,24.292658997849855,24.662280951498136,23.99255585817741,22.553938589586238,21.08037101767011,19.74555907566469,18.78787188091858,18.488831936476338,19.074348088367167,20.59968314383924,21.93538572492511,23.42916333933884,0
"Tanzania, United Republic of",25.35256896214717,25.553362507665607,25.24962136942164,24.58677682128245,23.811394346518956,23.070596512290894,22.619780602657602,23.237718661267042,24.211715686944636,25.256083379990525,25.605718145088343,25.451842769365815,0
Armenia,-4.470168576150283,-3.5344725158867725,1.168290817177121,6.320028275770499,11.646541837184339,15.918095793875443,18.72186075502931,18.469720641757817,14.589833998416992,8.589703719650641,2.0195450308107628,-2.7520384237634206,1
United States,-0.7928217223896035,-0.15074204559499949,3.445954769131157,7.068598324269369,11.592831078324995,16.570731652085254,19.53788866458992,18.802822301251513,15.028316143479435,8.900961243245172,3.0974691897567306,-0.677397324054402,1
Estonia,-2.993931298390679,-2.648383822106797,0.04239350497288443,5.014781985064931,11.174187961838564,15.317024765927371,17.805234751649557,17.075580536481723,13.211032785555398,7.213715425444507,3.77362453892448,0.8028231812248723,1
Kazakhstan,-11.417338541293486,-9.984457737997355,-0.9449085369919097,10.035180202282703,17.00502931160249,22.11377206630629,23.96621030168332,22.180915656195232,15.266359156420648,6.93875146509172,-2.7446706279466784,-8.84126736185583,1
Ukraine,-2.8307100242802625,-1.515768049155147,3.5314797086368372,10.46301655697689,16.307755809920224,20.50109964157706,21.748432880228044,21.49426361429067,16.371187219042806,9.520619493583075,3.871003942652331,0.16217134928893479,1
"Korea, Democratic People's Republic of",-5.791243727598564,-3.0903747947454843,3.480354838709677,10.027233333333333,15.93584946236559,20.12313703703704,23.562784946236565,24.049053763440867,19.04142146892655,12.23149462365591,4.287777777777778,-4.061204301075269,1
Kyrgyzstan,-6.3264936903164095,-4.303164167342606,3.1282728808551257,9.738881007324835,14.320018902680243,17.855180475549865,20.561125716407624,19.221836005503985,14.7628488372093,7.691688008647466,-0.02321762701363057,-5.236725421481987,1
Czech Republic,-1.183431085043988,-0.4801209135691904,3.489530791788856,8.669030303030302,12.36891495601173,16.592060606060606,18.237829912023464,18.312140762463336,13.530642010163751,8.521202346041054,3.937212121212121,0.8928445747800586,1
Lithuania,-2.988035190615837,-1.9906332821529866,1.4626370220680462,7.091619047619048,12.862235023041475,16.550952380952385,18.153652959943283,17.69927274675812,13.57640265019533,7.779824634214146,4.011324675324676,0.6890303379416282,1
"Moldova, Republic of",-2.081935483870968,-0.3100215517241377,5.2411290322580655,11.672666666666665,17.17454435483871,21.166208333333334,22.726733870967745,22.911774193548396,18.14527155172414,10.819879032258065,5.010333333333334,0.747177419354839,1
Austria,-2.4519031194260394,-1.232131888038504,2.750382031407987,7.463408455440903,10.74290370880072,15.307189474211015,16.867702450049144,16.838546245625643,12.355569854247527,7.671164489007063,3.1182032651873928,-0.8176450647674123,1
Latvia,-3.154684726881044,-2.4911960922692113,0.6947602255930052,6.041689988740781,11.915064964620393,15.908619766181278,17.8643197332311,17.19188824103599,13.25967568433344,7.383923219334276,4.037216797672346,0.7929518503224443,1
Belarus,-4.498279379606197,-3.059447356834737,1.478330120906755,8.169264903029259,14.548010979515947,18.320815721359835,19.271438814153658,18.253642969383225,13.318775788898273,6.662155687475004,2.534066111164379,-0.8405611538455753,1
Slovakia,-1.527084338328676,0.6265065935742622,5.191387096774193,10.738226584022039,14.569093701996929,19.07708278688525,20.305451612903223,20.458338709677424,15.561758219178083,9.98691870967742,5.115384920634921,0.6504490322580644,1
Tajikistan,-2.3340004523412503,-0.5990924169605416,5.66839582223531,11.7597486408869,16.63910433287556,20.708381683295215,23.464008182484466,22.136323476191105,17.79447700248504,10.744704305697066,3.6613186092599,-1.0186491962371669,1
Romania,-1.5739507266926624,0.654849171764196,5.347513293158454,10.78319600751008,15.407548456264422,19.773899267399266,21.469587025877345,21.805019947943332,17.326508763166657,10.991864587025876,5.752186813186811,1.0461944231097462,1
China,-3.5441481562885526,-0.09993858522846988,6.493685449446143,13.049470945151489,18.103404206584607,21.812878740862526,23.889794225919353,22.993493355381343,18.50812672511946,12.180476398860066,4.907389088934718,-1.8599781143234018,1
